name,type,diretorio,accuracy,loss,val_accuracy,val_loss,l2,dropout,min_lr,factor,patience,patienceReduce,batch_size,pesos,epoch,time,seed
AffectnetGray,best,models/tests/AffectnetGray/AffectnetGray_63,0.1977086514234542,1.7555030584335327,0.2381407171487808,1.4410595893859863,0.0001,0.7,1e-05,0.5,10.0,5.0,32.0,[?.1.1.1],2.0,817.3365734000108,
AffectnetGray,best,models/tests/AffectnetGray/AffectnetGray_64,0.2073355019092559,1.872198462486267,0.3263292014598846,1.4236302375793457,0.0001,0.7,1e-06,0.5,10.0,5.0,32.0,[?.1.1.1],1.0,487.8414410999976,
AffectnetGray,best,models/tests/AffectnetGray/AffectnetGray_65,0.5245445370674133,1.213863968849182,0.5530086159706116,1.1867507696151731,0.0001,0.7,1e-07,0.5,10.0,5.0,32.0,[?.1.1.1],30.0,1337.1695129,
AffectnetGray,best,models/tests/AffectnetGray/AffectnetGray_66,0.206619456410408,1.936564326286316,0.1693728119134903,1.4711902141571045,0.0001,0.8,1e-05,0.2,10.0,5.0,32.0,[?.1.1.1],1.0,383.3206099999952,
AffectnetGray,best,models/tests/AffectnetGray/AffectnetGray_67,0.1895138770341873,1.783658742904663,0.1712830364704132,1.462757587432861,0.0001,0.8,1e-06,0.2,10.0,5.0,32.0,[?.1.1.1],2.0,400.9080334000173,
AffectnetGray,best,models/tests/AffectnetGray/AffectnetGray_68,0.2009706348180771,1.9063488245010376,0.1693728119134903,1.5316553115844729,0.0001,0.8,1e-07,0.2,10.0,5.0,32.0,[?.1.1.1],1.0,422.6902305000112,
AffectnetGray,best,models/tests/AffectnetGray/AffectnetGray_69,0.2020049393177032,1.9078969955444336,0.1693728119134903,1.472631573677063,0.0001,0.8,1e-05,0.3,10.0,5.0,32.0,[?.1.1.1],1.0,415.1832928999793,
AffectnetGray,best,models/tests/AffectnetGray/AffectnetGray_70,0.2002545893192291,1.9167072772979736,0.1693728119134903,1.4726696014404297,0.0001,0.8,1e-06,0.3,10.0,5.0,32.0,[?.1.1.1],1.0,381.36384279999766,
AffectnetGray,best,models/tests/AffectnetGray/AffectnetGray_71,0.1748746931552887,1.722037672996521,0.1693728119134903,1.5081539154052734,0.0001,0.8,1e-07,0.3,10.0,5.0,32.0,[?.1.1.1],8.0,589.5049218000204,
AffectnetGray,best,models/tests/AffectnetGray/AffectnetGray_72,0.2017662525177002,1.9045273065567017,0.1693728119134903,1.4671180248260498,0.0001,0.8,1e-05,0.4,10.0,5.0,32.0,[?.1.1.1],1.0,340.4581758000131,
AffectnetGray,best,models/tests/AffectnetGray/AffectnetGray_73,0.1950831413269043,1.9462889432907104,0.1696911752223968,1.4487146139144895,0.0001,0.8,1e-06,0.4,10.0,5.0,32.0,[?.1.1.1],1.0,377.9616011999897,
AffectnetGray,best,models/tests/AffectnetGray/AffectnetGray_75,0.4171374142169952,1.448918104171753,0.4205667078495025,1.30604350566864,0.0001,0.2,1e-05,0.1,10.0,2.0,32.0,[?.1.1.1],29.0,848.2403763000038,
AffectnetGray,best,models/tests/AffectnetGray/AffectnetGray_76,0.3168907761573791,1.5846508741378784,0.3425660729408264,1.4074679613113403,0.0001,0.2,1e-06,0.1,10.0,2.0,32.0,[?.1.1.1],5.0,330.6805765000172,
AffectnetGray,best,models/tests/AffectnetGray/AffectnetGray_77,0.4153074920177459,1.4702489376068115,0.4578159749507904,1.268684983253479,0.0001,0.2,1e-07,0.1,10.0,2.0,32.0,[?.1.1.1],6.0,359.7734813000425,
AffectnetGray,best,models/tests/AffectnetGray/AffectnetGray_78,0.2023231834173202,1.817231178283692,0.1709646582603454,1.50015389919281,0.0001,0.2,1e-05,0.2,10.0,2.0,32.0,[?.1.1.1],1.0,246.11464870005148,
AffectnetGray,best,models/tests/AffectnetGray/AffectnetGray_79,0.4312196671962738,1.4321608543395996,0.4259789884090423,1.2860897779464722,0.0001,0.2,1e-06,0.2,10.0,2.0,32.0,[?.1.1.1],8.0,397.0881099000108,
AffectnetGray,best,models/tests/AffectnetGray/AffectnetGray_80,0.4664651155471802,1.3810559511184692,0.4441260695457458,1.2882384061813354,0.0001,0.2,1e-07,0.2,10.0,2.0,32.0,[?.1.1.1],13.0,661.2004076000303,
AffectnetGray,best,models/tests/AffectnetGray/AffectnetGray_81,0.4755350351333618,1.3671594858169556,0.4578159749507904,1.2788364887237549,0.0001,0.2,1e-05,0.3,10.0,2.0,32.0,[?.1.1.1],7.0,533.8210812000325,
AffectnetGray,best,models/tests/AffectnetGray/AffectnetGray_82,0.3289840221405029,1.5935388803482056,0.4756447076797485,1.3025771379470823,0.0001,0.2,1e-06,0.3,10.0,2.0,32.0,[?.1.1.1],4.0,454.05017340002814,
AffectnetGray,best,models/tests/AffectnetGray/AffectnetGray_83,0.5696554780006409,1.162092924118042,0.5482330322265625,1.1093733310699463,0.0001,0.2,1e-07,0.3,10.0,2.0,32.0,[?.1.1.1],15.0,685.7509504000191,
AffectnetGray,best,models/tests/AffectnetGray/AffectnetGray_84,0.5417296290397644,1.1918264627456665,0.5243552923202515,1.257042646408081,0.0001,0.2,1e-05,0.4,10.0,2.0,32.0,[?.1.1.1],10.0,609.7018272999558,
AffectnetGray,best,models/tests/AffectnetGray/AffectnetGray_85,0.3674914538860321,1.5194289684295654,0.4027379751205444,1.3132619857788086,0.0001,0.2,1e-06,0.4,10.0,2.0,32.0,[?.1.1.1],7.0,477.1685117000016,
AffectnetGray,best,models/tests/AffectnetGray/AffectnetGray_86,0.5533455610275269,1.1689083576202393,0.4957019984722137,1.2471634149551392,0.0001,0.2,1e-07,0.4,10.0,2.0,32.0,[?.1.1.1],11.0,625.0100948000327,
AffectnetGray,best,models/tests/AffectnetGray/AffectnetGray_87,0.208290234208107,1.8036563396453853,0.282394140958786,1.4278883934020996,0.0001,0.2,1e-05,0.5,10.0,2.0,32.0,[?.1.1.1],1.0,330.7400615999941,
AffectnetGray,best,models/tests/AffectnetGray/AffectnetGray_88,0.565916121006012,1.1597260236740112,0.5456860661506653,1.2022640705108645,0.0001,0.2,1e-06,0.5,10.0,2.0,32.0,[?.1.1.1],10.0,579.0156368000316,
AffectnetGray,best,models/tests/AffectnetGray/AffectnetGray_89,0.5064842104911804,1.250230312347412,0.4772365391254425,1.327642798423767,0.0001,0.2,1e-07,0.5,10.0,2.0,32.0,[?.1.1.1],10.0,548.9673099999782,
AffectnetGray,best,models/tests/AffectnetGray/AffectnetGray_90,0.2002545893192291,1.874646067619324,0.1680993288755417,1.4442777633666992,0.0001,0.7,1e-05,0.1,10.0,2.0,32.0,[?.1.1.1],1.0,294.127299499989,
AffectnetGray,best,models/tests/AffectnetGray/AffectnetGray_91,0.2019253671169281,1.8831944465637207,0.1693728119134903,1.4825495481491089,0.0001,0.7,1e-06,0.1,10.0,2.0,32.0,[?.1.1.1],1.0,285.6079613000038,
AffectnetGray,best,models/tests/AffectnetGray/AffectnetGray_92,0.206858143210411,1.863552451133728,0.1693728119134903,1.4809149503707886,0.0001,0.7,1e-07,0.1,10.0,2.0,32.0,[?.1.1.1],1.0,316.89637560001574,
AffectnetGray,best,models/tests/AffectnetGray/AffectnetGray_93,0.1989020556211471,1.8720468282699585,0.1693728119134903,1.485917568206787,0.0001,0.7,1e-05,0.2,10.0,2.0,32.0,[?.1.1.1],1.0,338.4369631999871,
AffectnetGray,best,models/tests/AffectnetGray/AffectnetGray_94,0.2036757171154022,1.8878357410430908,0.1693728119134903,1.4644567966461182,0.0001,0.7,1e-06,0.2,10.0,2.0,32.0,[?.1.1.1],1.0,307.99382769997464,
AffectnetGray,best,models/tests/AffectnetGray/AffectnetGray_95,0.2051078081130981,1.88336181640625,0.3260108232498169,1.4123815298080444,0.0001,0.7,1e-07,0.2,10.0,2.0,32.0,[?.1.1.1],1.0,303.64789969997946,
AffectnetGray,best,models/tests/AffectnetGray/AffectnetGray_96,0.2007319629192352,1.8763532638549805,0.1693728119134903,1.4767926931381226,0.0001,0.7,1e-05,0.3,10.0,2.0,32.0,[?.1.1.1],1.0,347.17056860000594,
AffectnetGray,best,models/tests/AffectnetGray/AffectnetGray_97,0.2031187862157821,1.896584749221801,0.1693728119134903,1.4635357856750488,0.0001,0.7,1e-06,0.3,10.0,2.0,32.0,[?.1.1.1],1.0,328.4791360999807,
AffectnetGray,best,models/tests/AffectnetGray/AffectnetGray_98,0.1776593178510666,1.7323174476623535,0.1875198930501938,1.4691905975341797,0.0001,0.7,1e-07,0.3,10.0,2.0,32.0,[?.1.1.1],6.0,459.3039363999851,
AffectnetGray,best,models/tests/AffectnetGray/AffectnetGray_99,0.2008115202188491,1.887516021728516,0.1693728119134903,1.4502111673355105,0.0001,0.7,1e-05,0.4,10.0,2.0,32.0,[?.1.1.1],1.0,301.99496530002216,
AffectnetGray,best,models/tests/AffectnetGray/AffectnetGray_100,0.1973108500242233,1.6757639646530151,0.1792422831058502,1.4778438806533811,0.0001,0.7,1e-06,0.4,10.0,2.0,32.0,[?.1.1.1],18.0,901.7847017999738,
