name,type,diretorio,accuracy,loss,val_accuracy,val_loss,l2,dropout,min_lr,factor,patience,patienceReduce,batch_size,epoch,time,seed
Fer2013Balanced,last,models/tests/Fer2013Balanced/Fer2013Balanced_49,0.7794032692909241,0.6190813779830933,0.8046754002571106,0.5595961213111877,0.001,0.2,1e-07,0.5,10,5,32,104,3409.236491299991,
Fer2013Balanced,last,models/tests/Fer2013Balanced/Fer2013Balanced_50,0.7479239106178284,0.6956577301025391,0.7787867188453674,0.6163122057914734,0.001,0.3,1e-07,0.1,10,5,32,82,2688.358868500014,
Fer2013Balanced,last,models/tests/Fer2013Balanced/Fer2013Balanced_51,0.7515450119972229,0.6768295764923096,0.7870942950248718,0.5943523049354553,0.001,0.3,1e-07,0.2,10,5,32,89,2933.968955499993,
Fer2013Balanced,last,models/tests/Fer2013Balanced/Fer2013Balanced_52,0.7492275238037109,0.6790557503700256,0.7897990942001343,0.5962839722633362,0.001,0.3,1e-07,0.3,10,5,32,89,2917.4674786000105,
Fer2013Balanced,last,models/tests/Fer2013Balanced/Fer2013Balanced_53,0.760959804058075,0.6560161709785461,0.7901854515075684,0.5871877074241638,0.001,0.3,1e-07,0.4,10,5,32,104,3412.453645200003,
Fer2013Balanced,last,models/tests/Fer2013Balanced/Fer2013Balanced_54,0.7624082565307617,0.656628429889679,0.791537880897522,0.5871275663375854,0.001,0.3,1e-07,0.5,10,5,32,104,3400.1053579,
Fer2013Balanced,last,models/tests/Fer2013Balanced/Fer2013Balanced_55,0.6894553899765015,0.8184065222740173,0.7333848476409912,0.7161979675292969,0.001,0.4,1e-07,0.1,10,5,32,54,1770.9477690000203,
Fer2013Balanced,last,models/tests/Fer2013Balanced/Fer2013Balanced_56,0.7038431763648987,0.7799339890480042,0.7471020221710205,0.6853808164596558,0.001,0.4,1e-07,0.2,10,5,32,54,1770.66503199999,
Fer2013Balanced,last,models/tests/Fer2013Balanced/Fer2013Balanced_57,0.737398624420166,0.7013418674468994,0.7785934805870056,0.6134904026985168,0.001,0.4,1e-07,0.3,10,5,32,93,3044.9023705,
Fer2013Balanced,last,models/tests/Fer2013Balanced/Fer2013Balanced_58,0.7327153086662292,0.716019332408905,0.7708655595779419,0.6189619302749634,0.001,0.4,1e-07,0.4,10,5,32,83,2723.4335429000203,
Fer2013Balanced,last,models/tests/Fer2013Balanced/Fer2013Balanced_59,0.7421784400939941,0.6915584206581116,0.7805255055427551,0.6098047494888306,0.001,0.4,1e-07,0.5,10,5,32,93,3055.9442302000243,
Fer2013Balanced,last,models/tests/Fer2013Balanced/Fer2013Balanced_60,0.7020084857940674,0.7822068929672241,0.7629443407058716,0.6507999897003174,0.001,0.5,1e-07,0.1,10,5,32,104,3675.5650157000055,
Fer2013Balanced,last,models/tests/Fer2013Balanced/Fer2013Balanced_61,0.7038431763648987,0.781505286693573,0.7590803503990173,0.64875328540802,0.001,0.5,1e-07,0.2,10,5,32,96,3139.5903186,
Fer2013Balanced,last,models/tests/Fer2013Balanced/Fer2013Balanced_62,0.7071263194084167,0.7648085355758667,0.7623647451400757,0.6357812285423279,0.001,0.5,1e-07,0.3,10,5,32,83,2721.2994438,
Fer2013Balanced,last,models/tests/Fer2013Balanced/Fer2013Balanced_63,0.7036983370780945,0.7748546600341797,0.760432779788971,0.643710732460022,0.001,0.5,1e-07,0.4,10,5,32,83,2715.2522930999994,
Fer2013Balanced,last,models/tests/Fer2013Balanced/Fer2013Balanced_64,0.7233970761299133,0.7302011251449585,0.771251916885376,0.6157421469688416,0.001,0.5,1e-07,0.5,10,5,32,104,3404.4890356,
Fer2013Balanced,last,models/tests/Fer2013Balanced/Fer2013Balanced_65,0.6766608953475952,0.8420233130455017,0.7430447936058044,0.7009307742118835,0.001,0.6,1e-07,0.1,10,5,32,75,2448.4625247000004,
Fer2013Balanced,last,models/tests/Fer2013Balanced/Fer2013Balanced_66,0.6808613538742065,0.8333468437194824,0.7418856024742126,0.6946012377738953,0.001,0.6,1e-07,0.2,10,5,32,61,2005.7277672,
Fer2013Balanced,last,models/tests/Fer2013Balanced/Fer2013Balanced_67,0.6899864673614502,0.7937198281288147,0.7552163600921631,0.6582868695259094,0.001,0.6,1e-07,0.3,10,5,32,104,3408.2561830999985,
Fer2013Balanced,last,models/tests/Fer2013Balanced/Fer2013Balanced_68,0.7075608372688293,0.7636188864707947,0.7679675221443176,0.6334694027900696,0.001,0.6,1e-07,0.4,10,5,32,147,4806.259316200001,
Fer2013Balanced,last,models/tests/Fer2013Balanced/Fer2013Balanced_69,0.7026844620704651,0.7728596329689026,0.7642967700958252,0.6393774747848511,0.001,0.6,1e-07,0.5,10,5,32,104,3390.7884772,
Fer2013Balanced,last,models/tests/Fer2013Balanced/Fer2013Balanced_70,0.6493337154388428,0.8794933557510376,0.7208268642425537,0.7247275114059448,0.001,0.7,1e-07,0.1,10,5,32,127,4169.455303999999,
Fer2013Balanced,last,models/tests/Fer2013Balanced/Fer2013Balanced_71,0.6482715606689453,0.8889601230621338,0.7161900997161865,0.7376943826675415,0.001,0.7,1e-07,0.2,10,5,32,87,2850.9514826999985,
Fer2013Balanced,last,models/tests/Fer2013Balanced/Fer2013Balanced_72,0.660631537437439,0.862619936466217,0.7279752492904663,0.7084308862686157,0.001,0.7,1e-07,0.3,10,5,32,99,3244.230828699998,
Fer2013Balanced,last,models/tests/Fer2013Balanced/Fer2013Balanced_73,0.6734743118286133,0.8344260454177856,0.7386012077331543,0.6869161128997803,0.001,0.7,1e-07,0.4,10,5,32,102,3349.3270523999963,
Fer2013Balanced,last,models/tests/Fer2013Balanced/Fer2013Balanced_74,0.6680185198783875,0.8424411416053772,0.7322256565093994,0.6922008395195007,0.001,0.7,1e-07,0.5,10,5,32,115,3775.288087599998,
Fer2013Balanced,last,models/tests/Fer2013Balanced/Fer2013Balanced_75,0.6217168569564819,0.9298135638237,0.6968701481819153,0.7777300477027893,0.001,0.8,1e-07,0.1,10,5,32,109,3599.7690955,
