name,type,diretorio,accuracy,loss,val_accuracy,val_loss,l2,dropout,min_lr,factor,patience,patienceReduce,batch_size,pesos,epoch,time,seed
AffectnetGray,last,models/tests/AffectnetGray/AffectnetGray_71,0.1707375347614288,1.7003650665283203,0.1693728119134903,1.5257463455200195,0.0001,0.8,1e-07,0.3,10.0,5.0,32.0,[?.1.1.1],18.0,589.5049218000204,
AffectnetGray,last,models/tests/AffectnetGray/AffectnetGray_72,0.1758294254541397,1.7111170291900637,0.1693728119134903,1.5352064371109009,0.0001,0.8,1e-05,0.4,10.0,5.0,32.0,[?.1.1.1],11.0,340.4581758000131,
AffectnetGray,last,models/tests/AffectnetGray/AffectnetGray_73,0.1843424290418625,1.704006552696228,0.1693728119134903,1.5146474838256836,0.0001,0.8,1e-06,0.4,10.0,5.0,32.0,[?.1.1.1],11.0,377.9616011999897,
AffectnetGray,last,models/tests/AffectnetGray/AffectnetGray_75,0.4276394248008728,1.437267184257507,0.4075135290622711,1.3240973949432373,0.0001,0.2,1e-05,0.1,10.0,2.0,32.0,[?.1.1.1],39.0,848.2403763000038,
AffectnetGray,last,models/tests/AffectnetGray/AffectnetGray_76,0.3580237030982971,1.525409460067749,0.3444762825965881,1.425700306892395,0.0001,0.2,1e-06,0.1,10.0,2.0,32.0,[?.1.1.1],15.0,330.6805765000172,
AffectnetGray,last,models/tests/AffectnetGray/AffectnetGray_77,0.4468135833740234,1.4213367700576782,0.4262973666191101,1.3188976049423218,0.0001,0.2,1e-07,0.1,10.0,2.0,32.0,[?.1.1.1],16.0,359.7734813000425,
AffectnetGray,last,models/tests/AffectnetGray/AffectnetGray_78,0.3783117234706878,1.4933679103851318,0.2944921851158142,1.8436859846115112,0.0001,0.2,1e-05,0.2,10.0,2.0,32.0,[?.1.1.1],11.0,246.11464870005148,
AffectnetGray,last,models/tests/AffectnetGray/AffectnetGray_79,0.471636563539505,1.359732985496521,0.4272524714469909,1.308513045310974,0.0001,0.2,1e-06,0.2,10.0,2.0,32.0,[?.1.1.1],18.0,397.0881099000108,
AffectnetGray,last,models/tests/AffectnetGray/AffectnetGray_80,0.472511738538742,1.353605031967163,0.4215218126773834,1.351058840751648,0.0001,0.2,1e-07,0.2,10.0,2.0,32.0,[?.1.1.1],23.0,661.2004076000303,
AffectnetGray,last,models/tests/AffectnetGray/AffectnetGray_81,0.542445719242096,1.2194621562957764,0.4253422617912292,1.435238003730774,0.0001,0.2,1e-05,0.3,10.0,2.0,32.0,[?.1.1.1],17.0,533.8210812000325,
AffectnetGray,last,models/tests/AffectnetGray/AffectnetGray_82,0.5521520972251892,1.1796622276306152,0.4530404210090637,1.3394094705581665,0.0001,0.2,1e-06,0.3,10.0,2.0,32.0,[?.1.1.1],14.0,454.05017340002814,
AffectnetGray,last,models/tests/AffectnetGray/AffectnetGray_83,0.5718832015991211,1.153589963912964,0.5390003323554993,1.1246047019958496,0.0001,0.2,1e-07,0.3,10.0,2.0,32.0,[?.1.1.1],25.0,685.7509504000191,
AffectnetGray,last,models/tests/AffectnetGray/AffectnetGray_84,0.5530272722244263,1.151907444000244,0.5103470087051392,1.299209713935852,0.0001,0.2,1e-05,0.4,10.0,2.0,32.0,[?.1.1.1],20.0,609.7018272999558,
AffectnetGray,last,models/tests/AffectnetGray/AffectnetGray_85,0.4234226942062378,1.4473259449005127,0.3823623061180115,1.3928883075714111,0.0001,0.2,1e-06,0.4,10.0,2.0,32.0,[?.1.1.1],17.0,477.1685117000016,
